iter	Passed	Remaining
455	654	1498
456	655	1496
457	657	1495
458	658	1493
459	659	1491
460	661	1490
461	662	1488
462	663	1486
463	664	1484
464	665	1482
465	667	1480
466	669	1480
467	670	1479
468	671	1477
469	673	1475
470	674	1473
471	675	1471
472	676	1469
473	677	1467
474	679	1465
475	680	1463
476	681	1461
477	682	1459
478	684	1458
479	685	1456
480	686	1454
481	687	1452
482	688	1450
483	690	1448
484	691	1446
485	692	1444
486	693	1442
487	694	1440
488	695	1438
489	697	1437
490	699	1437
491	700	1435
492	701	1433
493	703	1431
494	704	1429
495	705	1427
496	706	1426
497	707	1424
498	709	1422
499	710	1421
500	713	1422
501	714	1420
502	715	1418
503	717	1416
504	718	1415
505	719	1413
506	720	1411
507	721	1409
508	722	1407
509	723	1405
510	725	1403
511	727	1403
512	728	1401
513	729	1399
514	730	1397
515	731	1395
516	733	1393
517	734	1392
518	735	1390
519	736	1388
520	737	1386
521	739	1384
522	740	1383
523	742	1382
524	743	1380
525	744	1379
526	746	1377
527	747	1376
528	748	1374
529	749	1372
530	751	1370
531	752	1368
532	753	1366
533	755	1366
534	756	1365
535	758	1363
536	759	1361
537	760	1359
538	761	1358
539	762	1356
540	764	1354
541	765	1352
542	766	1351
543	767	1349
544	769	1348
545	771	1348
546	772	1346
547	774	1344
548	775	1342
549	776	1341
550	777	1339
551	778	1337
552	780	1336
553	781	1334
554	782	1332
555	784	1331
556	786	1330
557	787	1329
558	788	1327
559	789	1325
560	790	1323
561	791	1321
562	792	1319
563	794	1317
564	795	1316
565	796	1314
566	797	1312
567	799	1312
568	800	1310
569	802	1308
570	803	1306
571	804	1305
572	805	1303
573	806	1301
574	807	1299
575	808	1297
576	810	1295
577	811	1294
578	813	1293
579	814	1292
580	815	1290
581	817	1288
582	818	1287
583	819	1285
584	820	1283
585	821	1281
586	822	1279
587	824	1278
588	825	1276
589	826	1274
590	828	1273
591	829	1272
592	830	1270
593	831	1268
594	832	1266
595	834	1265
596	835	1263
597	836	1261
598	837	1259
599	838	1258
600	839	1256
601	841	1254
602	843	1254
603	844	1252
604	845	1250
605	846	1249
606	847	1247
607	849	1245
608	850	1243
609	851	1242
610	852	1240
611	853	1238
612	854	1236
613	856	1236
614	857	1234
615	859	1232
616	860	1231
617	861	1229
618	862	1227
619	863	1226
620	864	1224
621	866	1222
622	867	1220
623	868	1219
624	869	1217
625	871	1216
626	873	1215
627	874	1214
628	875	1212
629	877	1211
630	878	1209
631	879	1207
632	880	1206
633	881	1204
634	882	1202
635	884	1201
636	885	1199
637	886	1198
638	888	1196
639	889	1194
640	890	1193
641	891	1191
642	892	1189
643	893	1188
644	895	1186
645	896	1185
646	897	1183
647	899	1182
648	901	1181
649	902	1179
650	903	1178
651	904	1177
652	906	1175
653	907	1174
654	908	1172
655	910	1171
656	911	1169
657	912	1167
658	914	1167
659	915	1165
660	917	1164
661	918	1162
662	919	1161
663	920	1159
664	921	1157
665	922	1155
666	924	1153
667	925	1152
668	926	1150
669	928	1149
670	929	1148
671	930	1146
672	931	1144
673	932	1142
674	933	1141
675	934	1139
676	935	1137
677	937	1136
678	938	1134
679	939	1132
680	940	1131
681	942	1129
682	943	1128
683	944	1126
684	945	1125
685	946	1123
686	947	1121
687	949	1120
688	950	1118
689	951	1116
690	952	1115
691	953	1113
692	954	1111
693	956	1110
694	958	1110
695	960	1108
696	961	1107
697	962	1105
698	963	1104
699	964	1102
700	965	1100
701	966	1099
702	967	1097
703	969	1095
704	971	1095
705	973	1094
706	974	1093
707	975	1091
708	976	1089
709	978	1088
710	979	1086
711	980	1085
712	981	1083
713	983	1082
714	984	1081
715	986	1080
716	987	1078
717	989	1077
718	990	1076
719	991	1074
720	993	1073
721	994	1071
722	996	1070
723	997	1069
724	999	1068
725	1001	1067
726	1002	1065
727	1003	1064
728	1004	1062
729	1006	1061
730	1007	1059
731	1009	1058
732	1010	1057
733	1012	1057
734	1014	1055
735	1015	1054
736	1016	1052
737	1018	1051
738	1019	1049
739	1020	1048
740	1021	1046
741	1023	1045
742	1024	1044
743	1026	1043
744	1029	1043
745	1030	1041
746	1032	1040
747	1033	1039
748	1034	1037
749	1036	1036
750	1037	1034
751	1039	1034
752	1041	1033
753	1043	1031
754	1044	1030
755	1045	1028
756	1046	1027
757	1047	1025
758	1049	1024
759	1050	1022
760	1051	1021
761	1054	1021
762	1055	1019
763	1057	1018
764	1058	1016
765	1059	1015
766	1061	1014
767	1062	1012
768	1063	1010
769	1064	1009
770	1066	1008
771	1069	1008
772	1070	1006
773	1071	1005
774	1073	1004
775	1074	1002
776	1075	1001
777	1077	999
778	1078	998
779	1080	997
780	1082	996
781	1084	995
782	1085	994
783	1086	992
784	1088	991
785	1089	989
786	1090	988
787	1091	986
788	1093	985
789	1095	984
790	1096	983
791	1098	981
792	1099	980
793	1100	978
794	1101	976
795	1102	975
796	1104	973
797	1105	972
798	1106	970
799	1107	969
800	1109	968
801	1111	967
802	1112	965
803	1113	963
804	1114	962
805	1115	960
806	1116	959
807	1118	957
808	1119	956
809	1120	954
810	1121	952
811	1123	951
812	1125	951
813	1126	949
814	1128	948
815	1128	946
816	1130	944
817	1131	943
818	1132	941
819	1133	940
820	1134	938
821	1136	937
822	1138	936
823	1139	934
824	1140	933
825	1141	931
826	1142	929
827	1143	928
828	1144	926
829	1146	925
830	1147	923
831	1148	921
832	1149	920
833	1151	919
834	1153	918
835	1154	917
836	1156	915
837	1157	914
838	1158	912
839	1159	911
840	1160	909
841	1161	907
842	1162	906
843	1164	904
844	1165	903
845	1167	902
846	1168	900
847	1169	899
848	1170	897
849	1171	896
850	1172	894
851	1174	893
852	1175	891
853	1176	889
854	1177	888
855	1178	886
856	1181	886
857	1182	884
858	1183	883
859	1184	881
860	1185	880
861	1186	878
862	1188	877
863	1189	875
864	1191	874
865	1192	872
866	1193	871
867	1195	870
868	1196	868
869	1197	867
870	1198	865
871	1200	864
872	1201	862
873	1202	861
874	1203	859
875	1204	858
876	1205	856
877	1207	855
878	1208	854
879	1210	852
880	1211	851
881	1213	849
882	1214	848
883	1215	846
884	1216	845
885	1217	843
886	1218	842
887	1220	840
888	1221	839
889	1223	838
890	1224	837
891	1226	835
892	1227	834
893	1228	832
894	1230	831
895	1231	830
896	1232	828
897	1233	827
898	1235	825
899	1236	824
900	1237	823
901	1239	821
902	1240	820
903	1241	818
904	1242	817
905	1243	815
906	1245	814
907	1246	812
908	1247	810
909	1248	809
910	1249	807
911	1251	806
912	1253	805
913	1254	804
914	1255	802
915	1256	801
916	1257	799
917	1259	798
918	1260	796
919	1261	795
920	1262	793
921	1263	792
922	1265	790
923	1266	789
924	1268	788
925	1269	786
926	1270	785
927	1271	783
928	1272	782
929	1274	780
930	1275	779
931	1276	777
932	1277	776
933	1278	774
934	1280	773
935	1282	772
936	1283	771
937	1284	769
938	1285	768
939	1286	766
940	1287	765
941	1289	763
942	1290	762
943	1291	760
944	1292	759
945	1293	757
946	1295	756
947	1296	755
948	1298	753
949	1299	752
950	1300	750
951	1301	749
952	1302	747
953	1303	746
954	1305	744
955	1306	743
956	1307	741
957	1308	740
958	1310	739
959	1311	737
960	1313	736
961	1314	734
962	1315	733
963	1316	731
964	1317	730
965	1318	729
966	1319	727
967	1321	726
968	1322	724
969	1323	723
970	1325	721
971	1326	720
972	1327	719
973	1328	717
974	1329	716
975	1330	714
976	1332	713
977	1333	711
978	1334	710
979	1335	708
980	1336	707
981	1338	705
982	1339	704
983	1340	703
984	1342	701
985	1343	700
986	1344	698
987	1345	697
988	1346	695
989	1347	694
990	1349	692
991	1350	691
992	1351	690
993	1354	689
994	1355	688
995	1357	686
996	1358	685
997	1359	683
998	1360	682
999	1361	680
1000	1363	679
1001	1364	678
1002	1365	676
1003	1366	675
1004	1368	674
1005	1369	672
1006	1370	671
1007	1372	669
1008	1373	668
1009	1374	666
1010	1375	665
1011	1376	663
1012	1377	662
1013	1379	660
1014	1380	659
1015	1381	658
1016	1383	656
1017	1384	655
1018	1386	654
1019	1387	652
1020	1388	651
1021	1389	650
1022	1391	648
1023	1392	647
1024	1394	646
1025	1395	644
1026	1397	643
1027	1398	642
1028	1399	640
1029	1400	639
1030	1402	637
1031	1403	636
1032	1404	634
1033	1405	633
1034	1406	631
1035	1407	630
1036	1408	629
1037	1409	627
1038	1411	626
1039	1413	625
1040	1414	623
1041	1415	622
1042	1416	620
1043	1417	619
1044	1419	617
1045	1420	616
1046	1421	615
1047	1422	613
1048	1423	612
1049	1425	610
1050	1427	609
1051	1428	608
1052	1429	606
1053	1430	605
1054	1431	603
1055	1433	602
1056	1434	601
1057	1435	599
1058	1436	598
1059	1437	596
1060	1438	595
1061	1440	594
1062	1442	592
1063	1443	591
1064	1444	590
1065	1445	588
1066	1446	587
1067	1447	585
1068	1449	584
1069	1450	582
1070	1451	581
1071	1452	579
1072	1453	578
1073	1455	577
1074	1457	576
1075	1458	574
1076	1459	573
1077	1461	571
1078	1462	570
1079	1463	569
1080	1464	567
1081	1466	566
1082	1467	565
1083	1468	563
1084	1470	562
1085	1472	561
1086	1473	559
1087	1474	558
1088	1476	557
1089	1477	555
1090	1478	554
1091	1480	552
1092	1481	551
1093	1482	550
1094	1484	549
1095	1486	547
1096	1487	546
1097	1488	544
1098	1489	543
1099	1490	542
1100	1492	540
1101	1493	539
1102	1494	537
1103	1495	536
1104	1497	535
1105	1498	533
1106	1500	532
1107	1501	531
1108	1502	529
1109	1504	528
1110	1505	527
1111	1506	525
1112	1507	524
1113	1508	522
1114	1509	521
1115	1511	519
1116	1512	518
1117	1513	517
1118	1515	516
1119	1517	514
1120	1518	513
1121	1519	511
1122	1520	510
1123	1522	509
1124	1523	507
1125	1524	506
1126	1525	504
1127	1527	503
1128	1528	502
1129	1530	501
1130	1531	499
1131	1532	498
1132	1533	496
1133	1534	495
1134	1536	493
1135	1537	492
1136	1538	491
1137	1539	489
1138	1541	488
1139	1542	487
1140	1544	485
1141	1545	484
1142	1546	483
1143	1548	481
1144	1549	480
1145	1550	479
1146	1551	477
1147	1553	476
1148	1554	474
1149	1556	473
1150	1557	472
1151	1559	471
1152	1560	469
1153	1561	468
1154	1563	466
1155	1564	465
1156	1565	464
1157	1566	462
1158	1567	461
1159	1569	459
1160	1571	458
1161	1572	457
1162	1573	455
1163	1574	454
1164	1575	453
1165	1577	451
1166	1578	450
1167	1579	448
1168	1580	447
1169	1581	446
1170	1582	444
1171	1584	443
1172	1586	442
1173	1587	440
1174	1588	439
1175	1589	437
1176	1590	436
1177	1591	435
1178	1592	433
1179	1594	432
1180	1595	430
1181	1596	429
1182	1597	428
1183	1599	426
1184	1601	425
1185	1602	424
1186	1603	422
1187	1605	421
1188	1606	420
1189	1607	418
1190	1608	417
1191	1609	415
1192	1610	414
1193	1612	413
1194	1613	411
1195	1615	410
1196	1616	409
1197	1617	407
1198	1618	406
1199	1620	405
1200	1621	403
1201	1622	402
1202	1623	400
1203	1624	399
1204	1625	398
1205	1626	396
1206	1628	395
1207	1630	394
1208	1631	392
1209	1632	391
1210	1633	389
1211	1634	388
1212	1636	387
1213	1637	385
1214	1638	384
1215	1639	382
1216	1640	381
1217	1641	380
1218	1643	378
1219	1644	377
1220	1646	376
1221	1647	374
1222	1648	373
1223	1649	371
1224	1650	370
1225	1651	369
1226	1652	367
1227	1654	366
1228	1655	365
1229	1656	363
1230	1658	362
1231	1660	361
1232	1661	359
1233	1662	358
1234	1663	356
1235	1664	355
1236	1665	354
1237	1667	352
1238	1668	351
1239	1669	350
1240	1670	348
1241	1672	347
1242	1674	346
1243	1675	344
1244	1676	343
1245	1677	342
1246	1679	340
1247	1680	339
1248	1682	338
1249	1683	336
1250	1684	335
1251	1686	334
1252	1688	332
1253	1689	331
1254	1690	330
1255	1692	328
1256	1693	327
1257	1694	326
1258	1696	324
1259	1697	323
1260	1698	322
1261	1700	320
1262	1702	319
1263	1703	318
1264	1704	316
1265	1706	315
1266	1707	313
1267	1708	312
1268	1709	311
1269	1711	309
1270	1712	308
1271	1713	307
1272	1716	306
1273	1717	304
1274	1718	303
1275	1719	301
1276	1721	300
1277	1722	299
1278	1723	297
1279	1724	296
1280	1726	295
1281	1727	293
1282	1728	292
1283	1730	291
1284	1732	289
1285	1733	288
1286	1734	287
1287	1735	285
1288	1737	284
1289	1738	282
1290	1739	281
1291	1740	280
1292	1741	278
1293	1743	277
1294	1744	276
1295	1746	274
1296	1747	273
1297	1748	272
1298	1749	270
1299	1750	269
1300	1751	267
1301	1752	266
1302	1754	265
1303	1755	263
1304	1756	262
1305	1758	261
1306	1759	259
1307	1760	258
1308	1761	257
1309	1762	255
1310	1764	254
1311	1765	252
1312	1766	251
1313	1767	250
1314	1768	248
1315	1769	247
1316	1770	246
1317	1772	244
1318	1774	243
1319	1776	242
1320	1777	240
1321	1778	239
1322	1779	238
1323	1780	236
1324	1781	235
1325	1783	233
1326	1784	232
1327	1785	231
1328	1787	229
1329	1788	228
1330	1790	227
1331	1791	225
1332	1792	224
1333	1793	223
1334	1794	221
1335	1796	220
1336	1797	219
1337	1798	217
1338	1799	216
1339	1800	215
1340	1802	213
1341	1803	212
1342	1804	210
1343	1805	209
1344	1806	208
1345	1808	206
1346	1809	205
1347	1810	204
1348	1811	202
1349	1812	201
1350	1813	200
1351	1815	198
1352	1816	197
1353	1818	196
1354	1819	194
1355	1820	193
1356	1821	191
1357	1822	190
1358	1824	189
1359	1825	187
1360	1826	186
1361	1827	185
1362	1828	183
1363	1830	182
1364	1831	181
1365	1833	179
1366	1834	178
1367	1835	177
1368	1836	175
1369	1837	174
1370	1839	173
1371	1840	171
1372	1841	170
1373	1843	169
1374	1845	167
1375	1846	166
1376	1847	165
1377	1848	163
1378	1849	162
1379	1851	160
1380	1852	159
1381	1853	158
1382	1854	156
1383	1855	155
1384	1856	154
1385	1858	152
1386	1860	151
1387	1861	150
1388	1862	148
1389	1863	147
1390	1864	146
1391	1866	144
1392	1867	143
1393	1868	142
1394	1869	140
1395	1871	139
1396	1872	138
1397	1874	136
1398	1875	135
1399	1877	134
1400	1878	132
1401	1879	131
1402	1881	130
1403	1882	128
1404	1884	127
1405	1885	126
1406	1886	124
1407	1888	123
1408	1889	122
1409	1891	120
1410	1892	119
1411	1894	118
1412	1895	116
1413	1896	115
1414	1897	113
1415	1899	112
1416	1900	111
1417	1901	109
1418	1903	108
1419	1904	107
1420	1906	105
1421	1907	104
1422	1908	103
1423	1909	101
1424	1910	100
1425	1912	99
1426	1913	97
1427	1914	96
1428	1916	95
1429	1918	93
1430	1919	92
1431	1920	91
1432	1921	89
1433	1922	88
1434	1924	87
1435	1925	85
1436	1926	84
1437	1927	83
1438	1928	81
1439	1929	80
1440	1931	79
1441	1932	77
1442	1934	76
1443	1935	75
1444	1936	73
1445	1937	72
1446	1938	71
1447	1939	69
1448	1940	68
1449	1942	66
1450	1943	65
1451	1944	64
1452	1946	62
1453	1947	61
1454	1948	60
1455	1949	58
1456	1950	57
1457	1952	56
1458	1953	54
1459	1954	53
1460	1955	52
1461	1956	50
1462	1957	49
1463	1959	48
1464	1961	46
1465	1962	45
1466	1963	44
1467	1964	42
1468	1965	41
1469	1966	40
1470	1968	38
1471	1969	37
1472	1970	36
1473	1971	34
1474	1972	33
1475	1974	32
1476	1975	30
1477	1976	29
1478	1978	28
1479	1979	26
1480	1980	25
1481	1981	24
1482	1982	22
1483	1983	21
1484	1985	20
1485	1986	18
1486	1987	17
1487	1989	16
1488	1990	14
1489	1991	13
1490	1992	12
1491	1994	10
1492	1995	9
1493	1996	8
1494	1997	6
1495	1998	5
1496	1999	4
1497	2000	2
1498	2002	1
1499	2004	0
